,STATE_FIPS,STATE_NAME,05/24/2020,05/25/2020
0,4,Arizona,532.0,532.0
1,6,California,3165.0,3165.0
2,9,Connecticut,264.0,264.0
3,10,Delaware,21.0,21.0
4,11,District of Columbia,113.0,113.0
5,12,Florida,1796.0,1796.0
6,16,Idaho,206.0,206.0
7,22,Louisiana,690.0,690.0
8,28,Mississippi,20.0,20.0
9,29,Missouri,0.0,0.0
10,35,New Mexico,0.0,0.0
11,36,New York,0.0,0.0
12,38,North Dakota,0.0,0.0
13,41,Oregon,0.0,0.0
14,42,Pennsylvania,0.0,0.0
15,1,Alabama,497.0,497.0
16,2,Alaska,76.0,76.0
17,23,Maine,65.0,65.0
18,24,Maryland,323.0,323.0
19,25,Massachusetts,244.0,244.0
20,5,Arkansas,247.0,247.0
21,44,Rhode Island,0.0,0.0
22,45,South Carolina,0.0,0.0
23,54,West Virginia,0.0,0.0
24,8,Colorado,580.0,580.0
25,13,Georgia,656.0,656.0
26,15,Hawaii,18.0,18.0
27,17,Illinois,767.0,767.0
28,18,Indiana,643.0,643.0
29,19,Iowa,272.0,272.0
30,20,Kansas,271.0,271.0
31,21,Kentucky,268.0,268.0
32,26,Michigan,486.0,486.0
33,27,Minnesota,0.0,0.0
